id,name,category
1,간장게장,한식
2,탕수육,중식
3,초밥,일식
4,파스타,양식
5,떡볶이,분식
6,월남쌈,아시안
7,피자,패스트푸드
8,와플,디저트
9,족발,한식
10,수육,한식
11,잔치국수,한식
12,술떡,디저트
13,물냉면,한식
14,비빔냉면,한식
15,된장찌개,한식
16,짜장면,중식
17,짬뽕,중식
18,잡탕밥,중식
19,돼지갈비,한식
20,소갈비,한식
21,김치찌개,한식
22,호박떡,디저트
23,육개장,한식
24,팔보채,중식
25,삼겹살,한식
26,버블티,디저트
27,평양냉면,한식
28,알밥,한식
29,대패삼겹살,한식
30,꽈배기도넛,디저트
31,회오리감자,디저트
32,오징어버터구이,디저트
33,연탄불고기,한식
34,빙수,디저트
35,회덮밥,한식
36,깐풍기,중식
37,미역국,한식
38,물회,한식
39,콩나물국밥,한식
40,오징어회,한식
41,참치회,한식
42,고등어구이,한식
43,크림카레우동,일식
44,갈비찜,한식
45,치킨,패스트푸드
46,경양식돈가스,한식
47,계란말이,한식
48,숯불닭갈비,한식
49,소고기무국,한식
50,곰탕,한식
51,갈비탕,한식
52,호박전,한식
53,고로케,디저트
54,쫄병스낵,디저트
55,케밥,아시안
56,돈가츠,일식
57,골뱅이무침,한식
58,비빔국수,한식
59,꽃빵,디저트
60,참치비빔밥,한식
61,불고기버거,패스트푸드
62,수제비,한식
63,파전,한식
64,오돌뼈,한식
65,양념게장,한식
66,팟타이,아시안
67,뼈해장국,한식
68,비지찌개,한식
69,무지개떡,디저트
70,개성주악,디저트
71,간장새우,한식
72,김밥,분식
73,녹차모찌,디저트
74,골뱅이소면무침,한식
75,김치만두,한식
76,만두,한식
77,미고렝,아시안
78,에그타르트,디저트
79,쫄면,분식
80,순대,분식
81,곱창,한식
82,대창,한식
83,막창,한식
84,모찌롤,디저트
85,선지해장국,한식
86,깐쇼새우,중식
87,유산슬,중식
88,고구마빵,디저트
89,돼지국밥,한식
90,횡성한우,한식
91,새우죽,한식
92,고추장찌개,한식
93,통감자,분식
94,엽기떡볶이,분식
95,회냉면,한식
96,육포,디저트
97,생선까스,일식
98,된장국,한식
99,찹쌀도넛,디저트
100,안동찜닭,한식
101,까르보나라떡볶이,분식
102,설렁탕,한식
103,육회비빔밥,한식
104,어묵꼬치,분식
105,열무비빔밥,한식
106,광어회,한식
107,잡채,한식
108,닭도리탕,한식
109,슈크림빵,디저트
110,양념갈비,한식
111,식혜,디저트
112,스테이크,양식
113,돌솥비빔밥,한식
114,조기구이,한식
115,돼지갈비찜,한식
116,명란스파게티,양식
117,미숫가루,디저트
118,떡갈비,한식
119,양꼬치,중식
120,짬뽕밥,중식
121,말린과일,디저트
122,볶음우동,일식
123,닭강정,분식
124,떡꼬치,분식
125,김말이튀김,분식
126,냉이된장국,한식
127,치즈돈까스정식,일식
128,쟁반짜장,중식
129,연어알,일식
130,삼계탕,한식
131,카레우동,일식
132,순두부찌개,한식
133,이삭토스트,분식
134,국물닭발,한식
135,해물순두부,한식
136,규동,일식
137,편육,한식
138,쌀국수,아시안
139,김치전,한식
140,소갈비찜,한식
141,송편,디저트
142,우삼겹,한식
143,전병,한식
144,스테키동,일식
145,주먹김밥,분식
146,갈치조림,한식
147,짜장밥,중식
148,고구마,디저트
149,마파두부,중식
150,감자탕,한식
151,육사시미,일식
152,곱창전골,한식
153,불고기,한식
154,마라탕,중식
155,참치김밥,분식
156,타코야끼,일식
157,참치뱃살,일식
158,초코크림빵,디저트
159,떡국,한식
160,약과,디저트
161,호박찌개,한식
162,알탕,한식
163,커리,아시안
164,카레,한식
165,명란삼각김밥,분식
166,함박스테이크,양식
167,토마토리조또,양식
168,복숭아,디저트
169,맥반석오징어,디저트
170,라면,분식
171,파닭,한식
172,초콜릿,디저트
173,백설기,디저트
174,단호박죽,한식
175,장조림,한식
176,청국장,한식
177,우동,일식
178,김칫국,한식
179,횡성한우,한식
180,야채곱창,한식
181,몽쉘,디저트
182,오예스,디저트
183,빈대떡,한식
184,샤브샤브,일식
185,오리훈제구이,한식
186,아구찜,한식
187,항정살,한식
188,닭발,한식
189,산낙지,한식
190,뻥튀기,디저트
191,삼각커피우유,디저트
192,카스타드,디저트
193,육회,한식
194,라볶이,분식
195,제육볶음,한식
196,오이냉국,한식
197,짜글이,한식
198,소고기야채죽,한식
199,닭갈비,한식
200,꼬마김밥,분식
201,파리바게트순수우유케이크,디저트
202,가츠동,일식
203,밥버거,분식
204,매운탕,한식
205,꿔바로우,중식
206,허니버터칩,디저트
207,곶감,디저트
208,아이스크림,디저트
209,오뜨,디저트
210,매운새우깡,디저트
211,화덕피자,양식
212,규카츠,일식
213,라멘,일식
214,기름떡볶이,분식
215,메로나,디저트
216,부대찌개,한식
217,팥빙수,디저트
218,고구마피자,양식
219,보쌈,한식
220,콩국수,한식
221,가츠나베,일식
222,오므라이스,일식
223,오믈렛,양식
224,유부초밥,분식
225,김치가츠나베우동,일식
226,계란과자,디저트
227,딤섬,중식
228,나시고랭,아시안
229,훠궈,중식
230,나가사끼짬뽕,중식
231,핫도그,패스트푸드
232,타코,패스트푸드
233,샌드위치,패스트푸드
234,크리스피크림도넛,패스트푸드